condition	cellID	centromere	CENPC	CENPN	cenpn_norm	cenpc_norm
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop003Batch_BlindDeblur001.tif	10	254062	263476	1.5626853120237216	1.034814876268304
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop003Batch_BlindDeblur001.tif	11	254255	187468	1.1118792226785856	1.0356009807275297
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop003Batch_BlindDeblur001.tif	12	227937	175755	1.0424090126414898	0.9284056586658707
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop003Batch_BlindDeblur001.tif	13	308222	251768	1.4932447571603802	1.255412894463435
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop003Batch_BlindDeblur001.tif	14	233070	151781	0.9002183855238143	0.9493127788171928
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop003Batch_BlindDeblur001.tif	15	216303	240895	1.4287566163140264	0.8810194447869535
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop003Batch_BlindDeblur001.tif	16	225805	274658	1.6290061426080984	0.9197218518934922
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop003Batch_BlindDeblur001.tif	17	169605	197972	1.1741788117018634	0.6908147502951473
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop003Batch_BlindDeblur001.tif	18	257012	247010	1.4650248938156776	1.0468304625621674
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop003Batch_BlindDeblur001.tif	19	227884	178429	1.0582685995653518	0.928189785420591
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop003Batch_BlindDeblur001.tif	20	199048	212908	1.262764746741056	0.8107384476681022
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop003Batch_BlindDeblur001.tif	21	215752	132359	0.7850258285921593	0.8787751776520658
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop003Batch_BlindDeblur001.tif	22	275130	194566	1.1539777073403552	1.120626527806986
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop003Batch_BlindDeblur001.tif	23	246546	209305	1.2413952285336236	1.0042016062396002
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop003Batch_BlindDeblur001.tif	24	492708	403175	2.391244935687364	2.0068391497209483
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop003Batch_BlindDeblur001.tif	25	160431	182849	1.0844837731642558	0.6534483134612823
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop003Batch_BlindDeblur001.tif	26	215009	260722	1.546351242319789	0.8757488791380521
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop003Batch_BlindDeblur001.tif	27	208901	225009	1.3345361982614947	0.8508705058896057
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop003Batch_BlindDeblur001.tif	28	207207	181979	1.0793237729309872	0.8439707082008584
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop003Batch_BlindDeblur001.tif	29	238943	243716	1.445488065346268	0.9732339782422298
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop004Batch_BlindDeblur001.tif	2	249588	134488	0.7976530015767898	1.016591915902628
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop004Batch_BlindDeblur001.tif	3	196121	184804	1.0960789461022327	0.7988165422165301
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop004Batch_BlindDeblur001.tif	4	211937	169885	1.007593838653805	0.8632363770720358
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop004Batch_BlindDeblur001.tif	5	231959	221020	1.3108773006402212	0.9447875868265209
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop004Batch_BlindDeblur001.tif	6	224229	225907	1.3398622674677878	0.9133026776564994
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop004Batch_BlindDeblur001.tif	7	232827	110797	0.6571408572936142	0.9483230203529864
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop004Batch_BlindDeblur001.tif	8	281151	303974	1.8028803573649923	1.1451505430867661
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop004Batch_BlindDeblur001.tif	9	285734	183900	1.090717290687434	1.1638174691833
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop004Batch_BlindDeblur001.tif	10	261282	168957	1.0020898384049854	1.0642225145875222
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop004Batch_BlindDeblur001.tif	11	234084	181504	1.0765065314243178	0.953442882038202
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop004Batch_BlindDeblur001.tif	12	379045	344660	2.044190437239429	1.5438806463584454
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop004Batch_BlindDeblur001.tif	13	156273	117926	0.699423204032661	0.6365124464070845
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop004Batch_BlindDeblur001.tif	14	190654	159087	0.9435505254137674	0.7765490133119366
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop004Batch_BlindDeblur001.tif	15	331672	309457	1.8354002209040854	1.3509266227993992
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop004Batch_BlindDeblur001.tif	16	238435	224952	1.3341981292806944	0.9711648535516255
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop004Batch_BlindDeblur001.tif	17	241787	245659	1.4570120658672343	0.9848178180455339
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop004Batch_BlindDeblur001.tif	18	515997	442517	2.624583704856614	2.1016971121608745
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop004Batch_BlindDeblur001.tif	19	185629	138081	0.8189632094367134	0.7560817858113729
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop004Batch_BlindDeblur001.tif	20	329808	296877	1.7607878037379738	1.3433344014937174
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop004Batch_BlindDeblur001.tif	21	180372	226195	1.3415704054760422	0.7346696037276985
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop004Batch_BlindDeblur001.tif	22	314088	222452	1.319370542403486	1.2793055823277748
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop004Batch_BlindDeblur001.tif	23	252613	215924	1.28065274754972	1.0289129832039625
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop004Batch_BlindDeblur001.tif	25	155419	13127	0.07785669317484474	0.6330340360020135
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop004Batch_BlindDeblur001.tif	26	212212	190131	1.1276735682201877	0.8643564740994298
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop004Batch_BlindDeblur001.tif	27	217661	214875	1.2744310920960435	0.8865506875622302
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop004Batch_BlindDeblur001.tif	28	244250	248018	1.4710033768445678	0.9948498143308849
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop004Batch_BlindDeblur001.tif	29	130987	68628	0.40703505288361735	0.5335205430082277
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop004Batch_BlindDeblur001.tif	30	211008	108055	0.6408779600066922	0.8594524856594938
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop004Batch_BlindDeblur001.tif	31	259008	148732	0.8821346605683711	1.0549603304409982
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop004Batch_BlindDeblur001.tif	34	288954	220123	1.305557162468679	1.1769327871040594
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop005Batch_BlindDeblur001.tif	1	231144	114642	0.6799456859107603	0.9414680265453349
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop005Batch_BlindDeblur001.tif	2	171619	77584	0.4601534001125279	0.6990179336157712
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop005Batch_BlindDeblur001.tif	3	239626	134932	0.800286381006182	0.9760158919502666
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop005Batch_BlindDeblur001.tif	4	178834	84721	0.5024831951295818	0.7284052065344911
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop005Batch_BlindDeblur001.tif	5	179539	102484	0.6078361654095215	0.7312767280047195
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop005Batch_BlindDeblur001.tif	6	237337	139538	0.8276047270687503	0.9666926116022486
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop005Batch_BlindDeblur001.tif	7	253102	133353	0.7909212771345373	1.030904719372674
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop005Batch_BlindDeblur001.tif	8	278513	108202	0.641749822115072	1.1344057577839826
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop005Batch_BlindDeblur001.tif	9	172941	101955	0.6046986480263042	0.7044025455074618
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop005Batch_BlindDeblur001.tif	10	193773	131119	0.777671345501064	0.7892529501426349
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop005Batch_BlindDeblur001.tif	11	267488	125700	0.7455310681860275	1.0895000496857308
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop005Batch_BlindDeblur001.tif	12	287807	119710	0.7100041700282368	1.1722609642298014
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop005Batch_BlindDeblur001.tif	13	222871	121431	0.7202114808345068	0.9077714348812227
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop005Batch_BlindDeblur001.tif	14	213885	83364	0.49443478097263327	0.8711707371060852
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop005Batch_BlindDeblur001.tif	15	196770	105230	0.624122786835447	0.8014599712011801
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop005Batch_BlindDeblur001.tif	16	394833	145507	0.8630070734967725	1.6081864349711619
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop005Batch_BlindDeblur001.tif	17	306102	128007	0.7592139653563152	1.2467779646522519
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop005Batch_BlindDeblur001.tif	18	214385	135072	0.8011167258713056	0.8732072771558925
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop005Batch_BlindDeblur001.tif	19	179194	96174	0.570411336131448	0.7298715153703524
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop005Batch_BlindDeblur001.tif	20	262834	131820	0.7818290008614331	1.070543934902124
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop005Batch_BlindDeblur001.tif	21	196591	63855	0.3787262240176515	0.800730889863349
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop005Batch_BlindDeblur001.tif	22	206570	77985	0.4625317450476321	0.8413761561774038
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop005Batch_BlindDeblur001.tif	23	255057	67785	0.40203519058862275	1.0388675909674208
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop005Batch_BlindDeblur001.tif	24	231444	96636	0.573151474186356	0.9426899505752193
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop005Batch_BlindDeblur001.tif	26	273357	118518	0.7029343766051839	1.1134049567903692
